sequence,rank,university,overall_score,academic_reputation,employer_reputation,faculty_student_ratio,citations_per_faculty,international_faculty_ratio,international_students_ratio,international_research_network,employment_outcomes,sustainability,Fundos (US$)
0,1,Massachusetts Institute of Technology (MIT),100,100,100,100,100,100,88.2,94.3,100,95.2,9.2
1,2,University of Cambridge,99.2,100,100,100,92.3,100,95.8,99.9,100,97.3,7.8
2,3,University of Oxford,98.9,100,100,100,90.6,98.2,98.2,100,100,97.8,6.7
3,4,Harvard University,98.3,100,100,98.3,100,84.6,66.8,100,100,96.7,6.3
4,5,Stanford University,98.1,100,100,100,99.9,99.9,51.2,95.8,100,94.4,6.2
5,6,Imperial College London,97.8,98.3,99.4,98.5,94,100,100,96.7,83,94.4,6.1
6,7,ETH Zurich,93.3,98.8,83.6,72.1,98.9,100,98.5,96,79.1,88.4,5.9
7,8,National University of Singapore (NUS),92.7,99.4,88.6,76.5,93.2,100,81.9,76.3,100,88.1,5.7
8,9,UCL,92.4,99.5,97.9,98.4,74.3,99.1,100,100,51.6,92.5,5.6
9,10,"University of California, Berkeley (UCB)",90.4,100,100,20.5,99.9,92.2,63.9,92.4,98.7,100,"6,7"
10,11,University of Chicago,90.3,99.1,95.4,92.5,78.5,81.2,84.4,61.4,98.3,81.7,"6,3"
11,12,University of Pennsylvania,89.4,96.4,89.1,99.9,68.4,96,70.3,83.3,100,99.9,"6,2"
12,13,Cornell University,89.3,98.1,90.5,52.9,99.1,68.7,64,79.9,98,94.7,"6,1"
13,14,The University of Melbourne,87.9,98.4,92.3,15.4,92.1,92.9,99.7,97.2,93.3,90.4,"5,9"
14,15,California Institute of Technology (Caltech),87.8,96.1,93.7,100,100,100,81,22.8,34.2,41.4,"5,7"
15,16,Yale University,87.7,99.9,99.9,100,45.8,89.8,78.8,85.8,99.9,99.2,"5,6"
16,17,Peking University,87,99.4,95.4,90.4,97.5,50.8,23.5,43.2,82.6,68.8,"5,5"
17,18,Princeton University,87,99.8,97.5,64.5,100,16.7,57.5,52.5,94.6,79.3,"5,4"
18,19,The University of New South Wales (UNSW Sydney),86.7,89.7,88.1,18.2,95.9,100,99.1,99,95.5,99.6,"5,3"
19,20,The University of Sydney,86.7,96,87.7,11.8,93.5,99.5,100,91.9,88.1,99.7,"5,2"
20,21,University of Toronto,86.3,99.7,96,54.2,57.2,95.7,96.4,95.5,96.4,99.9,"5,1"
21,22,The University of Edinburgh,86.1,98.1,96.9,72.4,58.7,98.8,99.9,99.6,48.1,99.7,5
22,23,Columbia University,85.9,99.6,98.3,100,40.7,56.1,96.8,97.6,99.9,94.2,"4,9"
23,24,UniversitÃ© PSL,85.8,73.7,97,99.3,95.7,69.2,72.7,100,60.8,80.4,"4,8"
24,25,Tsinghua University,84.9,99.1,96.9,93.9,98.9,9.4,15.7,47.8,82.2,55.8,"4,7"
25,26,"Nanyang Technological University, Singapore (NTU Singapore)",84.5,91,67.1,77.6,94.4,100,80.2,66.1,68.4,78.2,"4,6"
26,27,The University of Hong Kong,84.5,97.6,51.4,82.9,82.3,100,99,42.7,99.5,97.3,0
27,28,Johns Hopkins University,84.5,87.3,59.7,100,89.4,64.4,91.4,98.1,74.5,84.6,0
28,29,The University of Tokyo,84.3,100,99.8,90.4,70,10.3,29.2,70,99.8,99.7,0
29,30,"University of California, Los Angeles (UCLA)",83.8,100,99.8,36.6,84.8,43.4,24.8,89.8,97,91.2,0
30,31,McGill University,83.7,93.7,87.6,64,62.1,88.9,93.3,86.2,92.5,94.2,0
31,32,The University of Manchester,82.2,95.4,98,53.8,49.1,93.5,99.4,99.7,71.9,92.3,0
32,33,University of Michigan-Ann Arbor,81.7,98.3,89.9,82.2,56.2,67,27.6,95.4,94.3,83.7,0
33,34,Australian National University (ANU),81.5,93.2,70.2,34.9,92.8,100,93.3,78.5,43.9,87.4,0
34,35,University of British Columbia,81.5,98.2,93.5,44.4,57,96.4,74.1,96.3,60.1,99.9,0
35,36,EPFL â€“ Ã‰cole polytechnique fÃ©dÃ©rale de Lausanne,80.4,84.6,59.9,92.4,98,100,100,65.6,19.4,42.3,0
36,37,Technical University of Munich,80,83.9,98.2,88.8,59.6,76.5,97.3,86.7,25,84.8,0
37,38,Institut Polytechnique de Paris,79.5,44.8,99.6,97.3,93.8,98.5,98.3,76.9,90.3,72.5,0
38,39,New York University (NYU),79.5,95.9,98.5,95.5,26.7,26.4,95,85.4,99.7,98.3,0
39,40,King's College London,79.3,89.5,82.3,64.6,61.1,98.8,100,99.2,34.4,81.1,0
40,41,Seoul National University,78.5,99,98.2,85.1,64.9,11.5,14.5,36.9,100,73.8,0
41,42,Monash University,78.2,88.4,75.2,9.6,88.4,100,100,86.8,61,71.8,0
42,43,The University of Queensland,78.1,87.1,73.7,21.6,87,100,100,95,44.4,73.1,0
43,44,Zhejiang University,77.8,73.8,95.7,66.5,97.6,97.7,26.5,74.7,37.7,51.5,0
44,45,The London School of Economics and Political Science (LSE),76.9,67.7,96.1,39.6,80.2,100,100,32.4,98.6,97.8,0
45,46,Kyoto University,76.3,98.7,99.1,94.7,49.3,14.9,20.8,57.3,53.2,88.4,0
46,47,Delft University of Technology,76.2,73,79,36.9,84.9,100,89.3,91.4,42.1,98.4,0
47,48,Northwestern University,76.2,83.8,60.2,98.9,70.3,48.2,44.2,79.2,97.7,78,0
48,49,The Chinese University of Hong Kong (CUHK),76.2,88.4,46.3,60,92.3,100,77.1,32.7,78.6,61.3,0
49,50,Fudan University,74.4,84.7,89.8,84.5,72.4,88.3,33,22.7,49.6,43.8,0
50,51,Shanghai Jiao Tong University,74.3,83.7,83.3,54.7,99.4,39.2,35.5,38.3,55.5,44.1,0
51,52,Carnegie Mellon University,73.7,71.2,75.3,49.1,99.9,46.6,98.2,57.4,60,47.2,0
52,53,University of Amsterdam,73.4,83.6,44.2,21.2,98.1,92.4,79.9,97.4,49.9,64.8,0
53,54,Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,72.5,92.7,83.5,46.7,51.4,73.3,37.7,94.4,48.5,77.3,0
54,55,University of Bristol,72.4,74.9,84.7,47.3,64.7,85.5,86.8,84.4,39.6,81.3,0
55,56,KAIST - Korea Advanced Institute of Science & Technology,72.2,89.9,88.8,66.2,97.7,22.3,11.6,10.6,41.8,14.2,0
56,57,Duke University,72,85.7,69.3,100,40.2,16.8,52.2,90,89.3,95,0
